r,a_r,n_r,n_times_a,physical_block_LB,residual
4,0.0625,128.0,8.0,8.0,0.0
5,0.03125,256.0,8.0,8.0,0.0
6,0.015625,512.0,8.0,8.0,0.0
7,0.0078125,1024.0,8.0,8.0,0.0
8,0.00390625,2048.0,8.0,8.0,0.0
9,0.001953125,4096.0,8.0,8.0,0.0
10,0.0009765625,8192.0,8.0,8.0,0.0
11,0.00048828125,16384.0,8.0,8.0,0.0
12,0.000244140625,32768.0,8.0,8.0,0.0
