k,a,wilson_density_scaled,target_half_tr_X2,abs_error
2,0.25,0.24997965561016144,0.25,2.03443898385558e-05
3,0.125,0.24999872843727644,0.25,1.2715627235593274e-06
4,0.0625,0.24999992053199094,0.25,7.946800906211138e-08
5,0.03125,0.24999999511055648,0.25,4.889443516731262e-09
6,0.015625,0.25,0.25,0.0
7,0.0078125,0.25,0.25,0.0
8,0.00390625,0.25,0.25,0.0
9,0.001953125,0.25,0.25,0.0
10,0.0009765625,0.25,0.25,0.0
