t,correlator,bound,pass
0,1.0,1.0,True
1,0.37794942404841125,0.6703200460356393,True
2,0.17800992860085782,0.44932896411722156,True
4,0.05414180361094811,0.20189651799465538,True
8,0.008525767460413999,0.04076220397836621,True
16,0.0003325901498232208,0.001661557273173934,True
