K,number_irreps,link_truncation_dimension,top_shell_dimension,top_shell_fraction
0,1,1,1,1.0
1,3,19,18,0.9473684210526315
2,6,155,136,0.8774193548387097
3,10,805,650,0.8074534161490683
4,15,3136,2331,0.7433035714285714
5,21,9996,6860,0.6862745098039216
6,28,27468,17472,0.636085626911315
7,36,67320,39852,0.5919786096256684
8,45,150645,83325,0.5531215772179627
9,55,313027,162382,0.5187475840742173
10,66,611611,298584,0.48819265840542436
