r,a_r,n_r,dimensionless_block_gap,lemm_threshold_3_over_n,numerical_margin,numeric_gap_threshold_pass,lemm_hypotheses_pass
4,0.0625,128.0,0.024571940340179316,0.0234375,0.0011344403401793157,True,False
5,0.03125,256.0,0.012285970170089658,0.01171875,0.0005672201700896579,True,False
6,0.015625,512.0,0.006142985085044829,0.005859375,0.00028361008504482893,True,False
7,0.0078125,1024.0,0.0030714925425224145,0.0029296875,0.00014180504252241447,True,False
8,0.00390625,2048.0,0.0015357462712612072,0.00146484375,7.090252126120723e-05,True,False
9,0.001953125,4096.0,0.0007678731356306036,0.000732421875,3.5451260630603616e-05,True,False
10,0.0009765625,8192.0,0.0003839365678153018,0.0003662109375,1.7725630315301808e-05,True,False
11,0.00048828125,16384.0,0.0001919682839076509,0.00018310546875,8.862815157650904e-06,True,False
12,0.000244140625,32768.0,9.598414195382545e-05,9.1552734375e-05,4.431407578825452e-06,True,False
